Gene	Log2 Fold Change	p-value
cebpb	1.217217749724413	1.791804641803907e-23
got2a	1.0086304752617328	1.8694372244321413e-23
dub	1.5353895704582656	1.9330528012999925e-23
ENSDARG00000095296	-2.3056988329983548	2.0969984046201707e-23
camk4	1.3046178678255518	2.1459260221130412e-23
crygm2d21	2.007128778326223	2.160679652587644e-23
ENSDARG00000092900	-2.6008821486325164	2.5067210256458167e-23
cldn7a	1.7650393544705634	2.838605614007192e-23
rlbp1b	1.1758442422471627	3.481719143543114e-23
ctrl	1.634726693905606	3.7443448897368616e-23
ca10b	1.5226153376396805	4.216430775973372e-23
guk1b	1.235993360182806	4.257829824797638e-23
rgs9a	1.2898301338915055	4.3888137818015876e-23
si:ch211-157e21.2	1.2927615093822178	4.4861235462782913e-23
uox	0.8614235717724318	4.770545658606387e-23
gsto1	1.7936038499183078	4.8382751052751313e-23
nr6a1a	-3.7409418567803647	5.1769073208874407e-23
sybu	0.9442796104470104	5.2066964491873304e-23
gchfr	1.408711942328886	5.331118769601105e-23
mbpa	1.5529247960854704	5.709380941694387e-23
calcoco2	1.3956273485680943	6.126586921258148e-23
ENSDARG00000115564	-4.3082883483115415	6.199965328527761e-23
myhz1.1l	1.227739005782747	6.464159098180493e-23
atxn1a	1.5125443379390648	7.53354344215595e-23
ENSDARG00000096099	2.126903947076135	8.731019606042149e-23
pdk2b	1.9143069234347945	8.988875920353104e-23
gnat1	1.2785536912431836	9.446014791768078e-23
si:dkey-103d23.3	1.1772096355560138	9.57896132401935e-23
si:ch73-269m23.4	1.5678644807925008	9.724458003213909e-23
ENSDARG00000092358	1.9858356514794744	9.777272542189847e-23
atp2a2a	1.6687159265039158	1.075598590572268e-22
slc5a12	1.590524663505288	1.1244811844274623e-22
ppp1r15a	1.388950529815195	1.2584949166936253e-22
shisa9a	1.7392256073639487	1.411350725492122e-22
cela1.6	1.4950614259183421	1.4521665805605638e-22
zgc:152816	1.4449576726946765	1.6355680613675702e-22
LOC110437876	1.6633022023369817	1.6610900616921885e-22
lxn	0.706678725264711	1.6615693504669674e-22
eif4a2	1.2667164576872658	1.6624971860317021e-22
ddit3	1.5394739899063352	1.8788730585741782e-22
tnni1d	1.2337491888400431	2.0503271083569815e-22
npas4a	1.569156091816702	2.306350401706254e-22
znf395b	1.2951337617786916	2.3356181627576074e-22
usp2a	1.6760044141855643	2.3639735396943187e-22
ENSDARG00000103639	1.8912912733884528	2.41888024984204e-22
abcc5	1.8804273159564757	2.4731958159884245e-22
tapbpl	1.3127228438137322	2.6630578410154017e-22
rho	1.3285391616962623	2.6911804423013345e-22
scn4bb	1.1519591783888303	2.833978482850621e-22
tdo2a	1.8729704826629343	2.9086625045829104e-22
ntrk3b	2.2614482945290546	3.036436910722134e-22
pcloa	1.864367565981791	3.1482270726894526e-22
wsb1	1.6589359960663888	3.2530222366694746e-22
ENSDARG00000117459	-1.0560231102258621	3.4945019245888988e-22
tbx21	1.337643531332643	3.500180596740375e-22
zbtb4	1.2975255088081916	3.5936728515662764e-22
efna1a	1.6377392297071816	4.1724086908150863e-22
